Alabama,Montgomery,4903185,camellia
Alaska,Juneau,731545,forget-me-not
Arizona,Phoenix,7278717,cactus blossom
Arkansas,Little Rock,3017804,apple blossom
California,Sacramento,39512223,california poppy
Colorado,Denver,5758736,rocky mountain columbine
Connecticut,Hartford,3565287,mountain laurel
Delaware,Dover,973764,peach blossom
Florida,Tallahassee,21477737,orange blossom
Georgia,Atlanta,10617423,cherokee rose
Hawaii,Honolulu,1415872,pua aloalo
Idaho,Boise,1787065,syringa
Illinois,Springfield,12671821,violet
Indiana,Indianapolis,6732219,peony
Iowa,Des Moines,3155070,wild rose
Kansas,Topeka,2913314,wild native sunflower
Kentucky,Frankfort,4467673,goldenrod
Louisiana,Baton Rouge,4648794,louisiana iris
Maine,Augusta,1344212,white pinecone tassel
Maryland,Annapolis,6045680,black-eyed susan
Massachusetts,Boston,6892503,mayflower
Michigan,Lansing,9986857,apple blossom
Minnesota,Saint Paul,5639632,lady slipper
Mississippi,Jackson,2976149,magnolia
Missouri,Jefferson City,6137428,white hawthorn blossom
Montana,Helena,1068778,bitterroot
Nebraska,Lincoln,1934408,goldenrod
Nevada,Carson City,3080156,sagebrush
New Hampshire,Concord,1359711,pink ladyslipper
New Jersey,Trenton,8882190,violet
New Mexico,Santa Fe,2096829,yucca
New York,Albany,19453561,rose
North Carolina,Raleigh,10488084,dogwood
North Dakota,Bismarck,762062,wild prarie rose
Ohio,Columbus,11689100,white trillium
Oklahoma,Oklahoma City,3956971,mistletoe
Oregon,Salem,4217737,oregon grape
Pennsylvania,Harrisburg,12801989,mountain laurel
Rhode Island,Providence,1059361,violet
South Carolina,Columbia,5148714,yellow jessamine
South Dakota,Pierre,884659,american pasque
Tennessee,Nashville,6829174,passion flower
Texas,Austin,28995881,bluebonnet
Utah,Salt Lake City,3205958,sego lily
Vermont,Montpelier,623989,red clover
Virginia,Richmond,8535519,american dogwood
Washington,Olympia,7614893,coast rhododendron
West Virginia,Charleston,1792147,rhododendron
Wisconsin,Madison,5822434,wood violet
Wyoming,Cheyenne,578759,indian paintbrush
